Pclass,Sex,Age_clean,SibSp,Parch,Fare,Cabin,Embarked
2,1,62.0,0,0,10.5,54,2
3,1,8.0,4,1,29.125,54,1
3,1,32.0,0,0,56.4958,54,2
3,0,20.0,1,0,9.825,54,2
2,0,28.0,0,0,13.0,54,2
3,0,21.0,0,0,7.75,54,1
3,1,37.0,2,0,7.925,54,2
3,0,17.0,0,0,14.4583,54,0
3,0,29.69911764705882,0,0,7.75,54,1
1,1,46.0,1,0,61.175,27,2
3,1,29.69911764705882,0,0,15.1,54,2
3,1,24.0,0,0,8.05,54,2
1,1,29.0,1,0,66.6,106,2
1,0,56.0,0,1,83.1583,116,0
2,1,31.0,1,1,37.0042,54,0
3,1,29.69911764705882,0,0,7.75,54,1
2,1,32.0,1,0,26.0,54,2
3,1,33.0,1,1,20.525,54,2
3,1,59.0,0,0,7.25,54,2
1,0,58.0,0,0,26.55,92,2
3,0,29.69911764705882,1,0,16.1,54,2
2,0,3.0,1,2,41.5792,54,0
3,1,29.69911764705882,0,0,7.8958,54,0
1,0,16.0,0,1,57.9792,57,0
3,0,45.0,1,4,27.9,54,2
1,0,43.0,0,1,211.3375,63,2
1,0,30.0,0,0,106.425,54,0
3,1,28.5,0,0,16.1,54,2
3,1,24.0,0,0,7.7958,54,2
2,1,30.0,0,0,13.0,54,2
1,1,36.0,0,0,40.125,0,0
3,1,25.0,0,0,7.05,54,2
3,0,29.69911764705882,0,2,7.75,54,1
1,0,50.0,0,0,28.7125,114,0
3,0,0.75,2,1,19.2583,54,0
1,0,24.0,0,0,49.5042,131,0
2,0,24.0,1,2,65.0,54,2
1,0,35.0,1,0,52.0,54,2
1,0,30.0,0,0,86.5,83,2
2,1,23.0,0,0,13.0,54,2
3,1,29.69911764705882,0,0,7.8958,54,2
2,1,27.0,0,0,26.0,54,2
2,0,55.0,0,0,16.0,54,2
1,0,35.0,1,0,53.1,99,2
3,1,29.69911764705882,0,0,6.8583,54,1
1,0,29.69911764705882,0,0,79.2,54,0
3,1,29.69911764705882,1,0,19.9667,54,2
2,0,23.0,0,0,13.7917,138,0
3,0,29.69911764705882,0,0,7.7333,54,1
1,0,23.0,1,0,113.275,6,0
3,1,51.0,0,0,8.05,54,2
2,0,33.0,0,2,26.0,54,2
3,0,29.0,0,4,21.075,54,2
3,1,29.69911764705882,0,0,7.8958,54,0
