Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked,Age_clean,Embarked_clean,Fare_clean,Fare_clean_tr,Title,Cabin_ind,Family_cnt
2,1,62.0,0,0,10.5,54,2,62.0,3,10.5,1.6004343344404717,3,0,0
3,1,8.0,4,1,29.125,54,1,8.0,2,29.125,1.9626966753210602,14,0,5
3,1,32.0,0,0,56.4958,54,2,32.0,3,56.4958,2.2408007055327177,3,0,0
3,0,20.0,1,0,9.825,54,2,20.0,3,9.825,1.5793068236286465,15,0,1
2,0,28.0,0,0,13.0,54,2,28.0,3,13.0,1.6702776523348104,15,0,0
3,0,21.0,0,0,7.75,54,1,21.0,2,7.75,1.5061226525730975,15,0,0
3,1,37.0,2,0,7.925,54,2,37.0,3,7.925,1.5128638802220769,3,0,2
3,0,17.0,0,0,14.4583,54,0,17.0,0,14.4583,1.7061744981851188,15,0,0
3,0,,0,0,7.75,54,1,29.69911764705882,2,7.75,1.5061226525730975,15,0,0
1,1,46.0,1,0,61.175,27,2,46.0,3,61.175,2.276747118546924,3,1,1
3,1,,0,0,15.1,54,2,29.69911764705882,3,15.1,1.7210575366331091,3,0,0
3,1,24.0,0,0,8.05,54,2,24.0,3,8.05,1.5176064932892266,3,0,0
1,1,29.0,1,0,66.6,106,2,29.0,3,66.6,2.3157669197586563,3,1,1
1,0,56.0,0,1,83.1583,116,0,56.0,0,83.1583,2.4209238028779256,4,1,1
2,1,31.0,1,1,37.0042,54,0,31.0,0,37.0042,2.058970877498828,3,0,2
3,1,,0,0,7.75,54,1,29.69911764705882,2,7.75,1.5061226525730975,3,0,0
2,1,32.0,1,0,26.0,54,2,32.0,3,26.0,1.9186451916253064,3,0,1
3,1,33.0,1,1,20.525,54,2,33.0,3,20.525,1.830023358661372,3,0,2
3,1,59.0,0,0,7.25,54,2,59.0,3,7.25,1.4861669577303998,3,0,0
1,0,58.0,0,0,26.55,92,2,58.0,3,26.55,1.9266947105086851,15,1,0
3,0,,1,0,16.1,54,2,29.69911764705882,3,16.1,1.7432720823741534,4,0,1
2,0,3.0,1,2,41.5792,54,0,3.0,0,41.5792,2.1075370871655457,15,0,3
3,1,,0,0,7.8958,54,0,29.69911764705882,0,7.8958,1.5117473912278288,3,0,0
1,0,16.0,0,1,57.9792,57,0,16.0,0,57.9792,2.2524462888927452,15,1,1
3,0,45.0,1,4,27.9,54,2,45.0,3,27.9,1.945901445382932,4,0,5
1,0,43.0,0,1,211.3375,63,2,43.0,3,211.3375,2.9173955295624148,4,1,1
1,0,30.0,0,0,106.425,54,0,30.0,0,106.425,2.5433652414675887,15,0,0
3,1,28.5,0,0,16.1,54,2,28.5,3,16.1,1.7432720823741534,3,0,0
3,1,24.0,0,0,7.7958,54,2,24.0,3,7.7958,1.5078985992178089,3,0,0
2,1,30.0,0,0,13.0,54,2,30.0,3,13.0,1.6702776523348104,3,0,0
1,1,36.0,0,0,40.125,0,0,36.0,0,40.125,2.0925845238681964,3,1,0
3,1,25.0,0,0,7.05,54,2,25.0,3,7.05,1.4778754110912282,3,0,0
3,0,,0,2,7.75,54,1,29.69911764705882,2,7.75,1.5061226525730975,15,0,2
1,0,50.0,0,0,28.7125,114,0,50.0,0,28.7125,1.9571053387299904,15,1,0
3,0,0.75,2,1,19.2583,54,0,0.75,0,19.2583,1.806856196923988,15,0,3
1,0,24.0,0,0,49.5042,131,0,24.0,0,49.5042,2.1823701323690363,16,1,0
2,0,24.0,1,2,65.0,54,2,24.0,3,65.0,2.3045316198021406,15,0,3
1,0,35.0,1,0,52.0,54,2,35.0,3,52.0,2.2039445754429603,4,0,1
1,0,30.0,0,0,86.5,83,2,30.0,3,86.5,2.4400752592578163,15,1,0
2,1,23.0,0,0,13.0,54,2,23.0,3,13.0,1.6702776523348104,3,0,0
3,1,,0,0,7.8958,54,2,29.69911764705882,3,7.8958,1.5117473912278288,3,0,0
2,1,27.0,0,0,26.0,54,2,27.0,3,26.0,1.9186451916253064,3,0,0
2,0,55.0,0,0,16.0,54,2,55.0,3,16.0,1.7411011265922482,4,0,0
1,0,35.0,1,0,53.1,99,2,35.0,3,53.1,2.213191044542816,4,1,1
3,1,,0,0,6.8583,54,1,29.69911764705882,2,6.8583,1.469749413897551,3,0,0
1,0,,0,0,79.2,54,0,29.69911764705882,0,79.2,2.397425036114708,4,0,0
3,1,,1,0,19.9667,54,2,29.69911764705882,3,19.9667,1.8199575509815569,3,0,1
2,0,23.0,0,0,13.7917,138,0,23.0,0,13.7917,1.6901434253228618,4,1,0
3,0,,0,0,7.7333,54,1,29.69911764705882,2,7.7333,1.5054730020960585,15,0,0
1,0,23.0,1,0,113.275,6,0,23.0,0,113.275,2.575293989068137,15,1,1
3,1,51.0,0,0,8.05,54,2,51.0,3,8.05,1.5176064932892266,3,0,0
2,0,33.0,0,2,26.0,54,2,33.0,3,26.0,1.9186451916253064,4,0,2
3,0,29.0,0,4,21.075,54,2,29.0,3,21.075,1.8397275698182904,4,0,4
3,1,,0,0,7.8958,54,0,29.69911764705882,0,7.8958,1.5117473912278288,3,0,0
3,1,,8,2,69.55,54,2,29.69911764705882,3,69.55,2.3359278624155344,3,0,10
2,0,2.0,1,1,26.0,54,2,2.0,3,26.0,1.9186451916253064,15,0,2
2,0,14.0,1,0,30.0708,54,0,14.0,0,30.0708,1.975281500800348,4,0,1
2,1,54.0,1,0,26.0,54,2,54.0,3,26.0,1.9186451916253064,6,0,1
3,0,15.0,0,0,8.0292,54,1,15.0,2,8.0292,1.516821427682057,15,0,0
1,0,22.0,0,1,55.0,28,2,22.0,3,55.0,2.2288073840335185,15,1,1
2,1,27.0,0,0,13.0,54,2,27.0,3,13.0,1.6702776523348104,3,0,0
3,1,,0,0,7.8958,54,2,29.69911764705882,3,7.8958,1.5117473912278288,3,0,0
1,1,,0,0,39.6,54,0,29.69911764705882,0,39.6,2.0870797156498897,10,0,0
2,0,28.0,1,0,24.0,54,0,28.0,0,24.0,1.888175022589804,4,0,1
3,1,39.0,0,0,7.925,54,2,39.0,3,7.925,1.5128638802220769,3,0,0
2,1,2.0,1,1,26.0,48,2,2.0,3,26.0,1.9186451916253064,14,1,2
3,1,24.0,1,0,16.1,54,2,24.0,3,16.1,1.7432720823741534,3,0,1
3,1,32.0,0,0,7.8958,54,2,32.0,3,7.8958,1.5117473912278288,3,0,0
3,1,45.5,0,0,7.225,54,0,45.5,0,7.225,1.4851405983548165,3,0,0
2,0,8.0,0,2,26.25,54,2,8.0,3,26.25,1.92232078407926,15,0,2
3,1,26.0,1,2,20.575,54,2,26.0,3,20.575,1.8309140981238017,3,0,3
1,0,29.0,0,0,211.3375,74,2,29.0,3,211.3375,2.9173955295624148,15,1,0
2,0,45.0,1,1,26.25,54,2,45.0,3,26.25,1.92232078407926,4,0,2
3,0,36.0,1,0,17.4,54,2,36.0,3,17.4,1.77055674308707,4,0,1
1,1,,0,0,26.0,71,2,29.69911764705882,3,26.0,1.9186451916253064,3,1,0
3,0,4.0,0,2,22.025,54,2,4.0,3,22.025,1.8560222721344488,15,0,2
2,1,16.0,0,0,26.0,54,2,16.0,3,26.0,1.9186451916253064,3,0,0
1,1,58.0,0,0,29.7,66,0,58.0,0,29.7,1.9703858946219757,3,1,0
3,1,40.5,0,2,14.5,54,2,40.5,3,14.5,1.7071575395958585,3,0,2
3,1,25.0,0,0,7.65,47,2,25.0,3,7.65,1.5022156669730249,3,1,0
3,1,,0,0,7.8958,54,2,29.69911764705882,3,7.8958,1.5117473912278288,3,0,0
